Date,Open,High,Low,Price
03-11-15,170.05,172,163.5,164.75
04-11-15,165.05,166.45,161.5,162.19
05-11-15,162.94,163.05,158.1,159.25
06-11-15,159.3,162.05,156.55,158.75
09-11-15,155.5,161.15,154,160.44
10-11-15,160.55,162.15,156,156.55
11-11-15,157.55,158.85,157.55,158.19
13-11-15,158,158,154.25,155.1
16-11-15,155,160.3,151.1,157.69
17-11-15,161,163.4,159.25,161.94
18-11-15,162.8,163.69,156.94,157.5
19-11-15,160.3,161.1,157.8,160.55
20-11-15,161.5,162.5,159.6,160.85
23-11-15,161,162.19,160.05,161.35
24-11-15,160.55,164.5,160.55,161.94
26-11-15,162,162.65,160.5,160.94
27-11-15,160.94,165.15,160.94,162.94
30-11-15,163.5,165.1,161.3,162.4
01-12-15,162.5,164.45,161.1,163
02-12-15,164.8,166.8,163.55,164.1
03-12-15,163,164.05,157.19,158.55
04-12-15,156,157.85,154.25,155.5
07-12-15,157.9,158.3,156.4,157
08-12-15,156.19,157.55,154.5,155.75
09-12-15,156,157.35,150.25,150.8
10-12-15,154.4,154.4,147.5,151.3
11-12-15,151.3,151.94,146.9,148.55
14-12-15,145.5,151.6,145.1,151.05
15-12-15,151.05,152,147.1,149.35
16-12-15,150.5,152.8,149.4,150.25
17-12-15,150.15,154.15,149.1,153.5
18-12-15,151.25,153.3,150.3,151.05
21-12-15,151.85,152.5,149.35,151.75
22-12-15,151.75,154.9,151.19,151.8
23-12-15,153,153.5,151,152.1
24-12-15,152.5,154.19,151.65,153.5
28-12-15,153.5,156.5,153.15,155.69
29-12-15,156.1,157.8,155.8,156.9
30-12-15,158,158.5,154.5,155.19
31-12-15,156.5,157.75,155,156.15
01-01-16,156.19,159.85,156.1,159.1
04-01-16,159.1,162,152.8,155.55
05-01-16,155.35,158.3,154.25,157.19
06-01-16,157.25,160.44,154.69,155.3
07-01-16,154,154,146.8,148.6
08-01-16,149,151.75,144.1,149.75
11-01-16,148.8,152,146.8,147.94
12-01-16,148.3,151.19,146,149.05
13-01-16,150.44,152.44,144.8,148.6
14-01-16,145,148.5,145,146.3
15-01-16,146.3,147.25,136.35,139.35
18-01-16,138.5,138.5,129.44,134.1
19-01-16,134.1,135.69,129.1,132.35
20-01-16,130.55,136.75,127.95,134.85
21-01-16,135.25,138.9,133,135.44
22-01-16,136.05,142.9,136.05,140.8
25-01-16,144.69,146.35,141.3,142.75
27-01-16,143,147.5,142.9,146
28-01-16,145.8,149.6,144.05,146.8
29-01-16,146,148.55,143.3,147.6
01-02-16,147.5,148.69,142.19,144.15
02-02-16,144.19,144.19,141.44,142.44
03-02-16,140,142.35,137.44,138.05
04-02-16,138.19,142,134.3,140.85
05-02-16,140.65,141.5,137.05,138.55
08-02-16,138.8,143,136.3,137.25
09-02-16,136,138.3,133.8,135.05
10-02-16,136,150.69,135.5,149.5
11-02-16,149.94,152.19,147.19,148.75
12-02-16,149.1,152.3,142.05,148.1
15-02-16,150.65,157.75,150.65,156.44
16-02-16,159.15,159.15,149.1,151.4
17-02-16,152.94,159.9,152.1,159.3
18-02-16,161.69,162.4,154.3,160.25
19-02-16,161.6,163.4,158.3,160.69
22-02-16,160.19,163.19,157.9,162.5
23-02-16,162.5,164.5,158.5,163.1
24-02-16,161,166.3,160.6,161.55
25-02-16,160,161.35,157.25,158.4
26-02-16,159.15,159.8,153.8,155.1
29-02-16,155.1,160.4,152.55,157.9
01-03-16,158,161.3,157.5,158.69
02-03-16,161,169,160.1,165.05
03-03-16,166.75,167.05,164.05,165.95
04-03-16,166.15,171.6,165.15,170.35
08-03-16,172.5,174.9,169.35,171.7
09-03-16,170,172.55,166.1,171.6
10-03-16,172.75,172.8,167.3,168.45
11-03-16,171.95,171.95,166.55,167.6
14-03-16,168.65,170.55,168.1,169.45
15-03-16,171.9,172.4,166.6,168.9
16-03-16,170,170.2,165.5,168.4
17-03-16,169.15,171.75,169,170.45
18-03-16,171.65,179.15,168.65,177.45
21-03-16,177.2,180.4,177.2,178.15
22-03-16,179.05,181.65,176.35,178.6
23-03-16,177.6,178.2,173.05,174
28-03-16,174,176.15,170.15,171.8
29-03-16,171.8,174.25,169.6,171.6
30-03-16,171.3,173.85,170.2,172.75
31-03-16,172.75,176.65,171.8,175
01-04-16,175,176.25,173.1,174.4
04-04-16,173.5,175.45,169.15,170.65
05-04-16,168,171.95,164.55,165.55
06-04-16,166.3,173.4,165.3,172.65
07-04-16,174.6,174.6,168.3,168.85
08-04-16,168,169.5,167.15,167.8
11-04-16,168.8,169.4,165.25,168.2
12-04-16,166.95,170,165.75,168.4
13-04-16,170,171.9,168.85,169.45
18-04-16,169.6,174.8,168,173.35
20-04-16,173.2,175.45,168.55,169.2
21-04-16,169.65,170.8,163,164.05
22-04-16,163,163.5,159.6,162.85
25-04-16,163.65,165,158.5,161.6
26-04-16,162.3,164.2,160.7,162.65
27-04-16,162.65,167,162,166.4
28-04-16,165.9,167.45,163.7,164.4
29-04-16,163.55,164.4,158.15,160.2
02-05-16,157.05,163,155,162.15
03-05-16,163.55,163.55,157,158.45
04-05-16,159.25,160.5,153.25,154.65
05-05-16,155.9,157.15,154.15,155.6
06-05-16,155.65,159.4,154.5,158.6
09-05-16,155.6,160.05,155.6,157.4
10-05-16,157.3,157.45,151.3,152.35
11-05-16,150,154.25,149.7,153.4
12-05-16,150,159.4,148.8,158.6
13-05-16,157.95,161.15,156.9,159.6
16-05-16,160.25,160.85,155.8,157.05
17-05-16,156.75,158.8,153.05,153.6
18-05-16,152.55,153.5,151.6,152.85
19-05-16,152.65,154.4,150,150.65
20-05-16,150.75,152.9,149.25,151.95
23-05-16,152,152.8,150.95,151.45
24-05-16,151.05,151.05,147,147.7
25-05-16,148.8,152.25,147.45,151.7
26-05-16,153.25,153.45,149.85,152.9
27-05-16,154.9,157.05,153,156.7
30-05-16,157.5,158.9,154.3,157.2
31-05-16,153.3,158.6,153.3,156.25
01-06-16,156.25,157.7,153,153.5
02-06-16,153.5,157,151.1,155.1
03-06-16,155.9,156.55,150.4,150.95
06-06-16,151,153,151,151
07-06-16,152.7,153.75,150.95,152.9
08-06-16,153,155.15,151.8,153.95
09-06-16,154.2,155.05,151.8,152.65
10-06-16,153.25,153.8,149.9,150.3
13-06-16,149.05,150,147.45,148
14-06-16,149,152.1,147.9,151.2
15-06-16,152.95,153.5,151.2,152.05
16-06-16,151,151,148.35,149.5
17-06-16,150,150.35,148,148.9
20-06-16,148.7,151.05,147,150.05
21-06-16,150,150.85,148.25,148.8
22-06-16,148.65,149.6,147.25,148.2
23-06-16,148.75,149.35,147.6,148.5
24-06-16,143.4,151.5,139.35,147.65
27-06-16,147.65,147.9,145.1,146
28-06-16,146.5,148.75,145.75,148.2
29-06-16,149.05,152.65,149.05,151.55
30-06-16,154,154,151.1,151.5
01-07-16,152.25,155.3,152,154.3
04-07-16,155.1,157.8,155.05,156.85
05-07-16,156.5,157.1,154.1,156.3
06-07-16,157,157,156,157
07-07-16,156.2,156.2,149.35,150.55
08-07-16,150.4,151.5,149.7,150.3
11-07-16,151.45,153.8,151.45,152.95
12-07-16,153.3,156.65,151.4,156.1
13-07-16,156.5,156.7,152.35,154.3
14-07-16,153.95,155.85,153.95,155.4
15-07-16,156,157.65,155.9,157
18-07-16,158.5,161.7,158.1,159.95
19-07-16,160.9,161.3,157,158.55
20-07-16,160,161.65,158.3,158.5
21-07-16,161,161,156.85,157.3
22-07-16,157.7,159.4,155.5,158.75
25-07-16,159.55,163.15,159.05,162.1
26-07-16,163,164.9,160.2,161.3
27-07-16,161.1,162.7,158.8,161
28-07-16,161.4,164.9,161.25,164.15
29-07-16,164.2,165.15,161.65,163.1
01-08-16,163.1,166.2,160.9,162.7
02-08-16,164,164.6,159.7,160.9
03-08-16,162,162.25,155,156.05
04-08-16,159.1,163.5,154.65,163
05-08-16,163,176.6,161.95,175
08-08-16,176,183.05,175,180
09-08-16,179.9,190,176.3,181.45
10-08-16,182.5,185.95,171.75,172.55
11-08-16,171.55,173.85,166.25,169
12-08-16,169,174.2,169,170.3
16-08-16,171,173.4,170.25,172.35
17-08-16,172.95,177,171,175.15
18-08-16,176.1,177.9,175.55,177.05
19-08-16,177.95,178.85,174.4,175.3
22-08-16,176,176.25,169,169.5
23-08-16,167,173.8,167,172.3
24-08-16,172.5,175,171.15,174.25
25-08-16,175,176.7,172.55,173.3
26-08-16,173.8,177.75,171.5,176.75
29-08-16,179,185.6,179,184.15
30-08-16,185.65,186.5,183.5,184.3
31-08-16,184.9,186.15,181.3,183
01-09-16,184.05,188.9,182,185.8
02-09-16,187.05,195.8,186.45,194.35
06-09-16,197.8,203.9,196.95,202.45
07-09-16,203.6,207.55,203,206.05
08-09-16,207.8,210.4,204.7,207.6
09-09-16,209,215.9,208.65,212.85
12-09-16,208,209.9,202.15,204.3
14-09-16,204,214.65,203.05,213.65
15-09-16,214.2,220,213.45,215.35
16-09-16,214.6,218,208.5,213.3
19-09-16,215.25,221.95,214.6,221.25
20-09-16,222.3,223.7,216.15,217.5
21-09-16,217.5,219.6,213.4,215
22-09-16,217,218.65,212.7,215.75
23-09-16,216.25,222.65,214.2,220.45
26-09-16,221,221.75,216,216.7
27-09-16,216,219.9,214.25,215.2
28-09-16,214.1,221.95,210.55,220.45
29-09-16,222,225.1,208.25,210.45
30-09-16,211,221.1,211,220.2
03-10-16,224.85,225.8,220.7,223.75
04-10-16,224.85,225.9,219.4,220.4
05-10-16,222.7,233.3,221.8,229.75
06-10-16,232,234.8,225,227.2
07-10-16,229.8,231,222.8,223.55
10-10-16,227,232,219.4,223.65
13-10-16,223.65,224.85,215.1,223.55
14-10-16,223,223.5,216.2,217.5
17-10-16,217.05,217.05,208.4,209
18-10-16,209.1,220.9,206.2,219.6
19-10-16,220.7,221,211.4,211.95
20-10-16,210.3,215.3,210.3,212.6
21-10-16,214.9,215.55,210,213.1
24-10-16,213.25,215,209.05,210
25-10-16,210.1,213.6,209,210.85
26-10-16,211.5,215.7,207.9,208.95
27-10-16,207.1,210.35,198.7,199.75
28-10-16,200,203.7,199.25,201.95
30-10-16,204,204,200.05,201.5
01-11-16,201.5,209.3,199,205.85
02-11-16,204.5,204.5,198.5,199.3
03-11-16,199.95,204.6,196.95,197.85
04-11-16,200,200.9,190.3,193.55
07-11-16,197,197.05,193.2,193.7
08-11-16,194.65,198.95,190.8,196.75
09-11-16,185,197.2,178.1,195.65
10-11-16,196.75,203.45,194.8,195.8
11-11-16,193.45,198.6,191.45,192.45
15-11-16,194.25,195.05,182.2,185.2
16-11-16,193.8,193.8,183.15,183.75
17-11-16,184,187.3,183,187
18-11-16,185.7,189.9,183.5,188.95
21-11-16,189.15,189.85,179.25,181.85
22-11-16,183.05,185,178.75,183.65
23-11-16,184,184.5,176.35,178.3
24-11-16,176,179.5,173.3,178.5
25-11-16,180.1,181.65,177.9,180.5
28-11-16,180.5,186.15,180.5,181.85
29-11-16,182.8,185.75,182.25,183.75
30-11-16,186,192,186,191.05
01-12-16,191,192.3,187.05,188.05
02-12-16,187,187.5,181.5,181.95
05-12-16,181.95,187.5,180.1,186.65
06-12-16,187.5,191.25,187.5,188.9
07-12-16,190.7,190.8,186.45,189.05
08-12-16,191.35,195.7,190.7,194.8
09-12-16,196,198.15,194.6,196.95
12-12-16,198,198,192.75,193.9
13-12-16,193.7,197.5,193,196.9
14-12-16,197.1,198.8,195.1,197.2
15-12-16,196.5,203.7,195.75,200.2
16-12-16,202.15,202.4,193.5,194.55
19-12-16,194,196.85,192,195.15
20-12-16,196,197.8,191.95,197.5
21-12-16,195.1,195.35,189.8,192.65
22-12-16,190.35,191.8,187.75,189.65
23-12-16,189.5,191.35,188.15,189.65
26-12-16,189.2,189.2,184.05,185.7
27-12-16,185,188.6,179.6,187.9
28-12-16,188.6,188.6,182.55,183.2
29-12-16,183,186,182.65,185.3
30-12-16,185.85,186.7,183.8,184.95
02-01-17,186.15,187.9,183.9,186.25
03-01-17,186.25,188.2,185.5,187.6
04-01-17,187.7,189.35,184.5,185.3
05-01-17,185.7,188.5,185.7,187.8
06-01-17,190,191.85,186.75,188.7
09-01-17,189.8,189.8,185.2,186.35
10-01-17,186.85,195.9,186.85,194.65
11-01-17,198,198.2,195.85,196.75
12-01-17,197.9,198.6,193.45,194.7
13-01-17,194.8,194.8,185.8,187.95
16-01-17,187.15,188.5,184.6,187
17-01-17,187.8,191.6,187.45,187.9
18-01-17,188.5,190.4,186.6,188.55
19-01-17,189.5,189.5,184.75,185.55
20-01-17,185.4,186.85,183,183.7
23-01-17,184,186.4,183.2,184.7
24-01-17,185.9,186.3,183.7,185
25-01-17,185.35,187.5,184.5,186.7
27-01-17,186.7,189.7,186.1,187
30-01-17,187.45,187.45,183.3,184
31-01-17,183.3,183.3,179.05,180.25
01-02-17,180.4,188.6,176.5,187
02-02-17,187,188.4,182.1,184.35
03-02-17,184.35,187,181.5,183.3
06-02-17,184.35,184.8,181.25,182.1
07-02-17,182.05,184.65,180.45,182.3
08-02-17,183,186.4,181.55,185.75
09-02-17,187,187.65,182.45,183.65
10-02-17,183.2,183.6,181.15,182.05
13-02-17,182.4,182.9,178.15,178.8
14-02-17,178.6,178.6,175.1,175.85
