Date,Open,High,Low,Price
03-11-15,162.3,164.35,161.1,161.85
04-11-15,163.6,165.3,162.3,163.44
05-11-15,164.9,164.9,158.5,159.5
06-11-15,159,169.7,143.55,167.4
09-11-15,160.5,171.8,160.5,171
10-11-15,169.2,173.8,168,172.6
11-11-15,174,175.1,172.7,173.8
13-11-15,172,175,169.4,173.7
16-11-15,172.8,177.35,172.8,176.45
17-11-15,176.55,177.45,172.7,173.2
18-11-15,172.95,173.25,167.3,168.3
19-11-15,169.45,170.25,166.9,168.15
20-11-15,168.45,172.9,166.1,171.6
23-11-15,172,172.6,168.6,169.8
24-11-15,169,171.2,167.8,168.1
26-11-15,168.9,171.9,167.25,170.1
27-11-15,171.05,179.8,170.75,179.25
30-11-15,179.8,182.45,178.9,179.85
01-12-15,180,180.8,176.35,177.4
02-12-15,178.25,179.1,173.3,173.75
03-12-15,170.75,173.3,170.1,171.75
04-12-15,171,171,166.05,167.45
07-12-15,167.65,170.1,165.25,165.85
08-12-15,165,167.3,161,161.85
09-12-15,161.4,164,159.65,160.44
10-12-15,161.05,162,156.4,159.3
11-12-15,160.35,161.4,150.8,155.3
14-12-15,155,158.65,153.5,156.8
15-12-15,158,159.15,155,158.19
16-12-15,160,161.5,157.44,159.19
17-12-15,161,163.4,158.8,160.3
18-12-15,160.1,162.75,158.19,159.19
21-12-15,159.05,160.65,157.69,159.44
22-12-15,160,161.35,156.6,157.15
23-12-15,158.05,159,157.5,158.4
24-12-15,158.55,159.75,157.4,158.44
28-12-15,159,159.94,158.5,158.85
29-12-15,159.65,159.65,156.94,157.6
30-12-15,158.4,159.4,155.3,156.19
31-12-15,156.65,158.1,154,156.75
01-01-16,157,160,156.1,159
04-01-16,158.69,158.85,150.55,151.1
05-01-16,152.5,152.5,146.35,147.75
06-01-16,149,151,146.75,148.65
07-01-16,146.9,146.9,138.8,139.5
08-01-16,140.25,142.6,139.44,140.5
11-01-16,138.69,140.4,134.6,139.15
12-01-16,139.35,140.5,133.65,134.4
13-01-16,136.05,137.44,127.3,132.1
14-01-16,130,131.85,126.45,131.15
15-01-16,132,132.94,124.8,126.05
18-01-16,127,131.5,124.5,126.5
19-01-16,127.05,129.19,124.4,125.25
20-01-16,123.35,123.35,118.2,121.25
21-01-16,123,126.5,121.25,124.6
22-01-16,126.5,131.5,126.4,130.25
25-01-16,132,133.05,128.4,129.55
27-01-16,129.19,131.35,125.45,130.15
28-01-16,131.9,132.6,128.4,130.1
29-01-16,129.75,130.6,123,125.8
01-02-16,126,126.85,121.2,122.25
02-02-16,122.5,127.75,120.5,121.1
03-02-16,120.4,122.6,116.3,120.7
04-02-16,122.15,124.7,121,122.95
05-02-16,124,128,121.75,126.9
08-02-16,127,134.8,127,130.75
09-02-16,128,131.44,123.25,124
10-02-16,122.9,123.4,115.6,117.45
11-02-16,115.9,121.4,112.8,115.95
12-02-16,116.25,117.15,109.45,114.35
15-02-16,120,142,118,139.55
16-02-16,141.25,141.25,129.75,131
17-02-16,131.5,140.3,126.4,138.3
18-02-16,141.9,146.1,135.4,138.8
19-02-16,137.4,141.9,136.44,139.6
22-02-16,140.9,141.4,136.8,139.4
23-02-16,139,139.05,132.4,132.9
24-02-16,131.3,136.25,130.15,133.75
25-02-16,135,135.94,129.69,130.35
26-02-16,134,134,126.85,132.65
29-02-16,134.1,139.05,127.2,132
01-03-16,134,136.8,133,136.1
02-03-16,142.6,152.05,142.6,145.15
03-03-16,147.8,147.8,141.35,145.15
04-03-16,146,150.4,143.6,148.75
08-03-16,144.9,147.44,140.65,141.9
09-03-16,138.4,143.5,138.4,143
10-03-16,144.1,144.55,138.25,139.35
11-03-16,139.5,142.1,137.5,140.75
14-03-16,142.9,143.25,140.5,141
15-03-16,141.25,144.05,140.8,143.25
16-03-16,145.25,146.3,141.25,143.05
17-03-16,145.8,146.19,141,142.1
18-03-16,144.5,144.5,141.75,144.05
21-03-16,145.7,147.45,144.75,147.2
22-03-16,147.5,147.6,144.65,146.45
23-03-16,145.2,145.65,142.9,144
28-03-16,144.1,144.3,137.55,139.15
29-03-16,139,141.5,137.55,140.5
30-03-16,141.95,148.7,140.9,147
31-03-16,146.95,149.3,145.25,147.1
01-04-16,145.1,153.4,145.1,152.65
04-04-16,154,154.05,149.9,151.25
05-04-16,150.05,152.05,143.45,144.3
06-04-16,144.55,144.95,141.75,143.4
07-04-16,143.55,146.3,142.1,143.35
08-04-16,143.25,144.25,141.8,143.1
11-04-16,144,150,143.2,149.2
12-04-16,149.95,150.9,148,149.1
13-04-16,151.5,153.8,151.3,152.45
18-04-16,150.75,151.25,147,148.25
20-04-16,148.5,153.5,146.6,152.3
21-04-16,155,162,155,157.9
22-04-16,156.8,163.7,155.4,161.75
25-04-16,162,162.4,156.5,157.95
26-04-16,157.5,162.2,156.25,161.8
27-04-16,161,163.25,160,161.15
28-04-16,161,163.2,159.05,160.15
29-04-16,160.2,162.65,152.95,158
02-05-16,157.6,157.6,155.1,155.45
03-05-16,156,159.3,152.1,152.9
04-05-16,153,154.6,148.05,148.7
05-05-16,149.55,151,146.9,148.75
06-05-16,149.5,152.5,148.65,150.55
09-05-16,152.05,156.3,150.9,155.2
10-05-16,155.5,158.25,152.5,157.35
11-05-16,154.15,158.05,153,156.85
12-05-16,159.8,160.1,155.3,157.7
13-05-16,157.55,157.55,154.15,154.95
16-05-16,150.1,150.1,139.8,142.2
17-05-16,143.2,144.75,139.9,141.75
18-05-16,141,143.5,140.2,142.65
19-05-16,141.65,142,136.3,137.05
20-05-16,136.7,138.65,135,135.55
23-05-16,136,136.3,131.3,131.75
24-05-16,131.75,131.8,128.4,129.9
25-05-16,131.3,134.15,130.65,133.3
26-05-16,134.1,136.3,132.5,134.95
27-05-16,135.7,141,134.6,138.7
30-05-16,141.45,141.45,136.6,138.45
31-05-16,138.95,143.35,136.8,142.7
01-06-16,143.5,143.8,137.95,138.75
02-06-16,138.4,142,137.4,141.35
03-06-16,142.4,144.25,139.2,140.2
06-06-16,140,144,140,142.95
07-06-16,144.75,146.8,142.9,145.25
08-06-16,146,149.2,144.3,147.85
09-06-16,148,151.55,146.75,148.95
10-06-16,148,150.75,145.3,146.45
13-06-16,143.8,147.1,142.25,145.9
14-06-16,148,149.45,147.35,148.8
15-06-16,149.5,153.4,148.2,151.75
16-06-16,151,153.65,148.6,151.85
17-06-16,153.15,153.3,149,150.05
20-06-16,147.5,152.65,147.5,151.9
21-06-16,152,152.95,149.25,149.95
22-06-16,149.95,151.5,148.2,148.55
23-06-16,149.4,153,149.4,152.15
24-06-16,145,147.85,140.95,146.95
27-06-16,147.1,152.5,146.65,151.85
28-06-16,152.45,155,150.65,154.35
29-06-16,155.5,156.05,153.4,153.9
30-06-16,155.2,155.55,153.55,154
01-07-16,154.1,157.7,153.75,156.55
04-07-16,157.5,161.65,157.5,159.8
05-07-16,162,162.3,158.9,159.5
07-07-16,160,162.15,157.4,158.05
08-07-16,158.5,158.85,153.65,154.8
11-07-16,158,162.55,157.65,162.2
12-07-16,163.1,165,159.45,160.75
13-07-16,161.55,162,158.7,159.8
14-07-16,159.5,166.65,159.2,163.7
15-07-16,164.95,168.7,163.55,164.5
18-07-16,165,166.5,158.25,159.1
19-07-16,159,162.5,156.55,158.45
20-07-16,159,159.35,157.2,157.7
21-07-16,158.1,158.95,151.75,152.25
22-07-16,152.5,153,149.5,150.9
25-07-16,150,157.05,149.05,155.75
26-07-16,155.9,158.75,153.25,154.2
27-07-16,155.7,156.55,153.6,154.7
28-07-16,155.8,156.85,153.9,154.4
29-07-16,155,155,151.45,152.2
01-08-16,153.1,153.6,146.1,147.55
02-08-16,148,152.2,146.5,151.1
03-08-16,150.5,154.7,147.65,148.8
04-08-16,150.5,157.1,146.7,155.5
05-08-16,158,159.6,156.3,157.5
08-08-16,158.4,159.75,154.65,157.15
09-08-16,157.15,160.4,156.2,158.35
10-08-16,158.95,161.1,155.5,160.3
11-08-16,151.9,153,145.05,145.95
12-08-16,146.6,152.05,144.7,149.35
16-08-16,149.35,151.4,147.25,149.7
17-08-16,149.8,152.3,149.3,151.15
18-08-16,151.65,155,151.65,154.6
19-08-16,155.3,162.65,155.3,161.65
22-08-16,161.15,162.35,157.7,160
23-08-16,160,164.9,158.35,164.25
24-08-16,164.45,165.25,162.5,163.15
25-08-16,164,164.75,161.4,161.8
26-08-16,161.8,163.15,157.75,158.45
29-08-16,158.25,160.9,157.05,160.3
30-08-16,161.4,164.75,160.55,164.15
31-08-16,164.45,165.55,161.7,162.85
01-09-16,163.45,164.3,160.6,161.2
02-09-16,161.8,166.9,161.25,166.4
06-09-16,168.4,170.8,167.55,169.45
07-09-16,170.95,177.4,170.7,174.8
08-09-16,175.1,177.25,173.55,174.75
09-09-16,174.4,174.75,171.3,171.9
12-09-16,167.85,167.85,161.15,161.7
14-09-16,162,168.8,162,168.3
15-09-16,168.8,168.85,164.25,166.6
16-09-16,168.65,171.35,164.6,165.15
19-09-16,166.5,168,165.6,166.4
20-09-16,167.5,168.3,165.35,166.8
21-09-16,166.5,168.3,164.25,164.7
22-09-16,168,170,166.75,169.45
23-09-16,170,172.2,168.3,169.1
26-09-16,168,169.35,165.5,165.5
27-09-16,167.8,167.8,163.6,164
28-09-16,163.9,169.5,163.2,168.35
29-09-16,169.5,170.95,159.8,161.75
30-09-16,160.9,167.85,160.15,167.3
03-10-16,168.6,170.5,167.4,168.75
04-10-16,169.85,171.3,165.9,169.8
05-10-16,172.8,173.1,168.5,169.5
06-10-16,170,170,163.7,164.65
07-10-16,165,165.8,162.65,163.9
10-10-16,166,166,161.55,162
13-10-16,161.8,161.8,151.3,154.3
14-10-16,155.4,156.1,153.5,154.15
17-10-16,154,155.8,150.25,150.9
18-10-16,151.25,156.2,151.25,155.65
19-10-16,156,157.2,154.25,155.2
20-10-16,155.45,158.65,155.45,157.65
21-10-16,157.7,157.7,154.6,156.25
24-10-16,157.75,160.4,156.6,158.3
25-10-16,159.5,159.5,155.8,156.85
26-10-16,157,159.15,153.95,155.15
27-10-16,155,155.7,152.55,153.05
28-10-16,153.6,156.4,153.3,155.85
30-10-16,157.6,157.6,155.05,155.9
01-11-16,156.25,157.2,154.3,154.95
02-11-16,152.8,152.8,149.5,149.9
03-11-16,149.5,150.85,146.25,146.65
04-11-16,147.5,148.2,141.5,142.45
07-11-16,147.4,149.1,144.6,148.05
08-11-16,148.6,149.7,146.1,149
09-11-16,137,152.8,136.4,151.15
10-11-16,155,166.15,155,164.8
11-11-16,164.3,169.95,158.8,160.7
15-11-16,166.5,177.05,165.6,174.35
16-11-16,177.75,177.9,168.5,173.25
17-11-16,174,179.3,172.9,174.7
18-11-16,176,177.9,172.75,176.7
21-11-16,179.05,179.25,160,161.45
22-11-16,163.9,165.35,159.25,163.2
23-11-16,165,165,160.7,162.4
24-11-16,160.5,167.9,158.75,167.25
25-11-16,169,171.3,165.9,167.85
28-11-16,162.7,165,160.9,162.95
29-11-16,163.5,165.5,160.75,161.8
30-11-16,161.95,165,161.3,164.25
01-12-16,165,165.8,161,161.6
02-12-16,160.2,164.2,159.55,161
05-12-16,161.4,162.95,160.25,162.5
06-12-16,162.8,164,161.75,162.25
07-12-16,163.1,164.5,157,157.85
08-12-16,159.35,159.8,157.4,158.5
09-12-16,159,162.7,157.3,162.1
12-12-16,162,162.25,157.8,158.95
13-12-16,158.65,161,156.7,160.4
14-12-16,161,161.4,158,158.3
15-12-16,155.9,161.35,155.9,159.95
16-12-16,160.45,162.6,158.8,159.6
19-12-16,159.5,160.65,158.3,159.3
20-12-16,159.05,160.15,155,155.65
21-12-16,156.5,158.1,154.65,157.15
22-12-16,156.9,156.9,153.5,155.1
23-12-16,153.1,156.45,152.55,152.95
26-12-16,152,152.05,146,147.25
27-12-16,147.6,150.8,146.25,149.85
28-12-16,150.65,152.5,149.2,150
29-12-16,150,152.5,148.45,151.2
30-12-16,151.6,153.65,151.4,152.85
02-01-17,153.6,154.4,147.65,149.05
03-01-17,149.1,150.3,146.8,148.9
04-01-17,148.5,149.95,147.4,148
05-01-17,149.7,151.5,149.25,150.35
06-01-17,151.2,154.5,151.2,153.1
09-01-17,154.3,154.95,152.5,152.7
10-01-17,153.9,154.1,151.35,153.1
11-01-17,154.6,160.2,153.8,159.65
12-01-17,159.65,160.65,158,158.65
13-01-17,159.1,159.5,156.7,157.7
16-01-17,157.8,160.1,157.1,159.7
17-01-17,160.4,162.1,158.45,159.2
18-01-17,159,160.75,157.9,158.65
19-01-17,158,160.8,157.85,160.15
20-01-17,159,160.75,153.5,154.2
23-01-17,154,156.9,152.75,154.15
24-01-17,155.15,156.5,154.65,156.1
25-01-17,156.8,162.3,155.3,161.3
27-01-17,163.2,168.95,162.1,167.6
30-01-17,166.9,170.25,165,167.25
31-01-17,168,168.85,164.5,165.1
01-02-17,167.25,173.7,165.35,173.15
02-02-17,172.4,178.6,170.9,177.65
03-02-17,178.05,187,176.85,186.3
06-02-17,187.2,191.65,183.7,184.45
07-02-17,185.3,190.35,183.2,187.3
08-02-17,187.95,188.3,182.5,187
09-02-17,187,187.7,181.05,184.4
10-02-17,185.9,190.9,184.75,188.05
13-02-17,181.9,181.9,168,168.75
14-02-17,170.7,171.2,166.2,168.9
15-02-17,169.7,170.4,162.65,163.2
16-02-17,165.3,167.75,163.65,166.05
17-02-17,166.95,168.25,164.6,166
20-02-17,166,169.25,165,168.75
21-02-17,170.2,170.65,168,169.1
22-02-17,169.25,170.6,167.25,167.7
23-02-17,168.9,169.8,167,168.15
27-02-17,168.25,168.6,164.05,164.45
28-02-17,165.1,166.7,163.95,165.05
01-03-17,165.6,168.4,165.1,165.4
02-03-17,166.9,167.3,161.1,161.6
03-03-17,161,162.7,159.6,159.95
06-03-17,160.75,162.25,160.05,160.8
07-03-17,160.95,162.35,160.05,160.3
08-03-17,160.9,161.65,157.45,159.15
09-03-17,159,160.7,158.4,159.3
10-03-17,161.55,161.55,158.3,159.05
14-03-17,163,164,160.75,161.05
15-03-17,161,167.7,160.6,166.2
16-03-17,168,169.4,166.45,168.25
17-03-17,168.75,169,164.45,164.9
20-03-17,165.95,167.25,163.1,165.55
21-03-17,166,166.7,162.25,162.95
22-03-17,162,164.1,160.75,161.25
23-03-17,162.35,163.3,160.45,162.15
24-03-17,162.8,171.45,162.1,169.05
27-03-17,168.5,173.1,167.5,171.7
28-03-17,172.9,174.6,171.55,173.65
29-03-17,174.55,176.2,173,173.45
30-03-17,174,175.5,172.65,173.3
31-03-17,173,174.9,171.8,172.95
03-04-17,173.5,174.2,170.5,172.45
04-04-17,173,173,173,173
05-04-17,172.3,176.4,172.2,174.35
06-04-17,173.65,177,173,174.15
07-04-17,173.9,174.4,167.5,168.7
10-04-17,169.9,172,168.3,170.9
11-04-17,171,175,170.35,174.5
12-04-17,174.5,175.75,171.3,172.4
13-04-17,171.65,177.85,171.65,175.5
17-04-17,177.55,178.1,175.5,175.9
18-04-17,176,181.4,175.1,175.95
19-04-17,177,177.3,173.3,174.95
20-04-17,176,180.4,174.3,179.65
21-04-17,179.5,180.2,174.65,175.3
24-04-17,177.85,179.5,175.7,178.9
25-04-17,180.25,183.4,178.9,181.9
26-04-17,182.5,184.5,178.85,181.6
27-04-17,180.5,183.9,180.1,181.35
28-04-17,182.3,188.4,181.9,187.5
02-05-17,187.95,191.55,185.9,188.8
03-05-17,189.35,194.5,186.8,189.75
04-05-17,193.5,196.7,192.35,195.8
05-05-17,197.15,202.45,184,187.35
08-05-17,188.35,191.55,185.35,188.95
09-05-17,189,190,184.95,186.8
10-05-17,187.05,188.25,185.1,185.8
11-05-17,186.6,190.5,185.9,187.9
12-05-17,188.25,191.15,184.75,186.55
15-05-17,187,189.7,186.6,188
16-05-17,188.6,194.8,186.5,193.55
17-05-17,193.1,193.85,190,192.2
18-05-17,190.5,196.1,185.6,187.75
19-05-17,191,195.7,186.35,188.55
22-05-17,189.2,191.25,181.4,182.65
23-05-17,182.9,185.5,177.55,182.1
24-05-17,182.85,182.85,174.9,175.7
25-05-17,176.05,181.9,176.05,181.25
26-05-17,181.5,181.9,178.05,179.8
29-05-17,179.5,181.55,173.5,174.05
30-05-17,173.65,179,172.05,178.4
31-05-17,179.4,180.45,176.9,178
01-06-17,178.1,179.75,176.3,178.95
02-06-17,180.65,181.15,177.3,179.1
05-06-17,179.15,180.3,178.4,178.8
06-06-17,179.25,179.5,173.8,174.5
07-06-17,175.5,177.7,174.35,176.95
08-06-17,178,178,174.55,175.05
09-06-17,174.5,175.7,173.05,173.65
12-06-17,173.5,173.5,167.2,168.3
13-06-17,168.6,171.35,168.5,169.75
14-06-17,171.05,174.95,170,173
15-06-17,171.95,172.2,168.7,169.6
16-06-17,170.5,171.15,167.3,168.05
19-06-17,168.9,169.55,167.65,168
20-06-17,168.5,168.6,165.65,167.35
21-06-17,167,170,166.6,167.25
22-06-17,167.2,168.5,164.5,165
23-06-17,165.4,165.85,160.25,160.65
27-06-17,160.5,160.5,153.2,154.8
28-06-17,153.5,156.25,152.25,156
29-06-17,156.6,157.85,155,155.5
30-06-17,156.5,161.8,156.5,161.1
03-07-17,163.4,164.95,160.6,161.8
04-07-17,162.6,163.05,159.1,159.1
05-07-17,159.6,162.3,158.55,160.85
06-07-17,162,165.45,161.3,162
07-07-17,162.55,163.9,160.1,160.6
10-07-17,162,167.8,162,166.75
11-07-17,167,167.6,161.9,162.5
12-07-17,163,163.95,160.75,163.45
13-07-17,164.45,165.6,161.9,163.05
14-07-17,163.5,166.3,162.25,164.8
17-07-17,165.5,165.55,162.95,164.4
18-07-17,163.2,167.05,162.8,163.6
19-07-17,164,165.45,163.5,164.35
20-07-17,164.25,165.25,161.6,161.9
21-07-17,162.45,163.85,160.7,161.7
24-07-17,162,166,162,164.05
25-07-17,165.1,166.25,164.25,164.8
26-07-17,165.45,166.4,163,163.2
27-07-17,164,165,160.2,161
28-07-17,161.1,162.9,160.1,161.5
31-07-17,163,168.35,160.65,165.6
01-08-17,166.9,167.2,162.5,163.15
02-08-17,164.3,165.25,162.4,163.2
03-08-17,163.6,163.7,157.05,158.05
04-08-17,158,160.7,155.65,158.95
07-08-17,160.7,161.25,159.35,159.9
08-08-17,159.95,161.15,156.3,156.6
09-08-17,156.1,157.7,154.3,155.35
10-08-17,154.1,155.5,145.8,148.35
11-08-17,146,150.5,141.25,142.55
14-08-17,140.2,143.05,139.6,142.2
16-08-17,143,148.25,137.7,147.15
17-08-17,148.9,152.2,146.7,148.35
18-08-17,146,148,144.5,147.1
21-08-17,148,149.55,141,141.95
22-08-17,142.2,143.9,138.35,139.4
23-08-17,140.3,142.3,138.5,140.9
24-08-17,141.1,144,140.7,142.85
28-08-17,143.4,145.8,143.1,144
29-08-17,142,143.4,139.6,140.05
30-08-17,141,142.2,139.15,139.45
31-08-17,140.5,140.5,137.1,137.65
01-09-17,139,140.8,137.85,138.3
04-09-17,138.6,139.2,135.8,136.75
05-09-17,136.75,138.85,136.05,138.45
06-09-17,137,138.65,136.45,138
07-09-17,138.5,140.85,138.5,139.4
08-09-17,140.1,140.4,136.5,136.8
11-09-17,139.2,139.6,137.25,137.6
12-09-17,138.2,142.5,137.25,141.65
13-09-17,142,145.8,141.65,143.85
14-09-17,144.1,146.95,144.1,145.8
15-09-17,144,145.95,143.7,144.55
18-09-17,146.4,148.9,144.75,145.4
19-09-17,145.1,146.1,143.2,144.3
20-09-17,144.5,150.6,144,148.4
21-09-17,149,149,144.75,145.45
22-09-17,145,145,141.5,141.75
25-09-17,142.5,143.35,138.2,142.35
26-09-17,142.45,144.2,141.1,142.55
27-09-17,143.9,143.9,138,138.6
28-09-17,139.5,140.3,137.4,138.9
29-09-17,139.95,140.75,137.1,137.5
03-10-17,139,139.8,136.35,137.2
04-10-17,137.95,139,136.75,137.5
05-10-17,137.9,140.15,137.25,139.95
06-10-17,140,142.5,139.75,141.9
09-10-17,141.55,142.85,140.5,141.55
10-10-17,141.5,142.95,141.1,141.6
11-10-17,142,143.6,138,138.45
12-10-17,138.4,139,136.2,138.65
13-10-17,138,141.7,138,139.6
16-10-17,140,140.9,137.7,138.05
17-10-17,138.2,140.5,138.15,139.05
18-10-17,138,138.8,136.1,136.8
19-10-17,137.05,137.05,134.15,135.05
23-10-17,135,138.4,133.6,137.85
24-10-17,138.8,145.1,138.75,143.15
25-10-17,164.6,190.25,163.25,188.2
26-10-17,188.65,206.6,181.9,185.35
27-10-17,184.95,188.5,173.5,174.3
30-10-17,175,184.8,173.4,174.1
31-10-17,175,177.7,168,169.85
01-11-17,172.15,175.25,171.4,172.35
02-11-17,173,174.6,168.55,169.4
03-11-17,170.5,172.4,167.25,171.75
06-11-17,171.4,175.95,170.3,172
07-11-17,173.95,174.8,164.1,164.95
08-11-17,168,168,160.8,163.2
09-11-17,164,166.2,161.7,165.3
10-11-17,165,173.3,163.95,169.55
13-11-17,171.5,175.4,169.5,171.8
14-11-17,172.95,177.35,172.9,174.4
15-11-17,177.35,180.85,169.45,174.5
16-11-17,176.95,183.4,175.2,182.5
17-11-17,190.95,191.65,182.05,183.55
20-11-17,184.8,187.8,182.55,184.5
21-11-17,186.8,186.8,179.1,180.5
22-11-17,181.85,183.55,177.4,180.45
23-11-17,181,181,176.1,178
24-11-17,179.95,179.95,176.25,176.85
27-11-17,175.1,176,174.1,175.35
28-11-17,176,176.25,170.9,172.2
29-11-17,173.5,173.5,169.8,171.35
30-11-17,170.5,172.75,168.4,169.05
01-12-17,170,172.4,165.35,167.75
02-12-17,182,183,151,167
04-12-17,168.6,170.8,165.35,169.4
05-12-17,169.5,171.4,165.7,169.8
06-12-17,168.95,170,165.25,165.95
07-12-17,168,169,166.35,167.95
08-12-17,168.5,169.85,167.05,167.5
11-12-17,168.65,169.25,166.95,167.4
12-12-17,167.45,167.6,165,165.25
13-12-17,165.1,166.4,163.1,163.8
14-12-17,165,166.2,162.55,165.55
15-12-17,168.9,169.2,165.05,165.45
18-12-17,164,171.8,155.1,169.25
19-12-17,172,172.85,167.35,168.3
20-12-17,168.3,168.3,166.3,166.6
21-12-17,166.9,168.8,165.9,167.45
22-12-17,168,171.1,166.5,167.95
26-12-17,167,167.95,165.9,166.6
27-12-17,166.55,169.55,165.3,165.95
28-12-17,166,167.85,162.25,162.75
29-12-17,163.55,164,160.05,160.5
01-01-18,162.4,163.8,161.1,161.55
02-01-18,162,162.35,156.55,157.9
03-01-18,158.35,159.6,157.05,157.7
04-01-18,158.8,165.3,157.6,163.65
05-01-18,165.6,166.4,161.2,161.65
08-01-18,161.8,164,160.85,161.55
09-01-18,162.05,165.5,161.55,164.2
10-01-18,164.2,165.65,161.1,162.25
11-01-18,162.5,163.85,161.55,162.85
12-01-18,163.55,164.25,160.5,162.55
15-01-18,163.5,164.8,162.65,164
16-01-18,165,166.6,156.2,157
17-01-18,156.95,165.8,154.6,164.95
18-01-18,168.5,170.9,160.8,162.45
19-01-18,163,166.4,161.5,165.6
22-01-18,165,167.75,163.35,165
23-01-18,164.8,173.9,164.6,173.15
24-01-18,173.2,179.65,170.4,178.05
25-01-18,179.15,179.15,166.4,167.2
29-01-18,169,169,161.05,162
30-01-18,162,164,159.85,160.1
31-01-18,159.95,161.75,155.55,156.95
01-02-18,159,159,151.95,152.3
02-02-18,150.8,156.6,148.05,153.05
05-02-18,151.45,158.5,149.1,157.5
06-02-18,151.5,157.4,148.5,154.4
07-02-18,156.1,156.7,152.75,153.75
08-02-18,154,157.3,153.35,156.15
09-02-18,153,158,152.95,156.4
12-02-18,159.9,172.8,159.9,168.65
14-02-18,167.05,171.9,163.9,165.7
15-02-18,164,167,156.9,158.95
16-02-18,159.9,160.3,150.7,152.4
19-02-18,150.2,152.45,138.3,144.2
20-02-18,141,148.1,140.4,144.75
21-02-18,146.2,147.1,142.35,145.6
22-02-18,145,146.5,142.2,143.2
23-02-18,145,148,144.8,145.6
26-02-18,147.5,148,143.2,143.75
27-02-18,142.7,143.9,138.25,141.4
28-02-18,139,143.45,138.2,142
01-03-18,141.25,143.7,138,138.4
05-03-18,137.35,139.7,136.25,138.55
06-03-18,141,141.2,134.45,135.15
07-03-18,133.5,135.3,128.7,132.65
08-03-18,133,135.2,130.65,134.35
09-03-18,135,135.85,130.85,131.5
12-03-18,133,133.4,128.2,131.35
13-03-18,132,144.3,130.95,141.4
14-03-18,139,147.4,137.35,145.65
15-03-18,144.9,146.1,142.95,143.7
16-03-18,144.95,146.9,142.4,143.75
19-03-18,144,145.8,130,133.4
20-03-18,132.4,136.45,130.8,135.8
21-03-18,137.95,138.5,134.35,135
22-03-18,136,136.7,133.5,135
23-03-18,131,134.3,129.85,133.1
26-03-18,133.1,142.3,132.95,141.3
27-03-18,145.5,146.5,142.1,143.75
28-03-18,142,146.35,141,142.2
02-04-18,141,144,140.5,142.85
03-04-18,144.9,148.15,143.8,145.25
04-04-18,146,146.9,139.15,139.95
05-04-18,143.15,150,141,147.95
06-04-18,148,151.5,145.95,150.3
09-04-18,151.5,155.35,150.1,153.35
10-04-18,154.25,154.5,151.65,152.95
11-04-18,152.7,153,149.3,150.6
12-04-18,150.5,152.75,148.35,149.2
13-04-18,148.9,152.75,148.9,150.55
16-04-18,149,151.1,147.75,149.65
17-04-18,150.1,151.7,147.4,147.95
18-04-18,148,148.95,141.05,141.9
19-04-18,142.1,145.55,140.6,144.8
20-04-18,144.45,144.85,140.9,143.4
23-04-18,143.65,145.55,141.6,144.1
24-04-18,143,144.5,141.4,141.5
25-04-18,140.45,141.55,136.15,136.7
26-04-18,136.65,137.9,135.45,137.9
27-04-18,137.9,145.15,137.25,143.3
30-04-18,144.35,149.05,143.15,148.65
02-05-18,147,148.7,143.15,144.05
03-05-18,144.65,144.65,140.65,143.1
04-05-18,142,146.25,139.2,139.85
07-05-18,141.9,144.5,141.25,143.6
08-05-18,143.2,149.35,141.7,145.2
09-05-18,144.8,145.6,142.5,144.1
10-05-18,145.15,145.55,138.2,138.8
11-05-18,139.5,143.5,137.3,142.5
14-05-18,141,144.6,141,142.75
15-05-18,142,144.15,139,140.4
16-05-18,139,139.1,132,132.4
17-05-18,132.45,133.25,129,129.5
18-05-18,130.25,132,125.5,126.55
21-05-18,128.1,131.7,126.35,129.7
22-05-18,129.5,134.6,126.8,132.8
23-05-18,131,140.5,131,136.2
24-05-18,138,140.45,135.2,138.7
25-05-18,139,142.6,139,141.2
28-05-18,142.5,148.4,140.5,145.4
29-05-18,145,145.35,139.9,140.1
30-05-18,139.8,141.9,137.9,138.7
31-05-18,139,139.9,135.8,137.05
01-06-18,137.75,138.45,134.8,137.4
04-06-18,137.65,137.7,131.25,131.9
05-06-18,132,132.9,126.9,128.05
06-06-18,127,131.4,126.4,130.65
07-06-18,131.2,133.9,129.85,131.75
08-06-18,130.95,133.4,130,132.55
11-06-18,133.2,136.35,132.55,133.9
12-06-18,133.9,134.7,132.35,133.3
13-06-18,134.3,138.45,134,136.7
14-06-18,137,137,134.8,135.5
