,Date,Open,High,Low,Price,Volume
0,2015-11-03,688.0,688.0,671.5,675.3,97344
1,2015-11-04,676.2,680.0,668.55,670.9,145756
2,2015-11-05,674.15,675.0,655.0,658.5,289245
3,2015-11-06,655.0,672.0,650.75,657.95,195857
4,2015-11-09,648.9,650.2,639.04,647.25,120961
5,2015-11-10,650.9,650.9,638.0,640.85,80107
6,2015-11-11,643.25,646.2,639.6,642.79,38951
7,2015-11-13,639.45,639.45,615.7,618.6,145281
8,2015-11-16,617.9,630.85,613.54,626.2,114748
9,2015-11-17,629.75,638.0,627.1,634.0,91362
10,2015-11-18,635.7,642.0,627.54,629.85,74435
11,2015-11-19,635.25,637.79,630.25,635.15,59102
12,2015-11-20,635.0,647.35,632.0,645.95,101548
13,2015-11-23,646.0,649.5,634.0,640.45,103617
14,2015-11-24,639.25,646.9,635.0,637.0,59176
15,2015-11-26,640.15,642.25,633.0,634.35,60094
16,2015-11-27,638.85,644.04,636.0,642.6,58403
17,2015-11-30,643.0,651.2,639.04,644.0,70529
18,2015-12-01,646.0,650.0,644.75,648.5,37488
19,2015-12-02,650.0,659.9,648.9,657.25,85893
20,2015-12-03,657.4,657.4,643.25,650.54,57182
21,2015-12-04,649.0,655.8,643.65,645.65,106136
22,2015-12-07,647.5,653.5,640.0,645.0,52268
23,2015-12-08,645.0,648.0,638.7,642.25,38343
24,2015-12-09,640.0,644.0,620.1,623.4,81657
25,2015-12-10,621.7,639.75,621.7,635.2,61618
26,2015-12-11,635.0,643.0,631.4,639.4,95674
27,2015-12-14,639.0,643.5,632.0,639.2,50485
28,2015-12-15,635.0,640.79,635.0,637.65,32914
29,2015-12-16,641.0,644.0,636.95,638.29,44123
30,2015-12-17,638.0,644.5,637.29,643.1,79367
31,2015-12-18,643.1,648.75,640.15,642.15,40180
32,2015-12-21,643.15,649.0,640.79,643.1,59227
33,2015-12-22,643.1,648.29,641.45,644.2,57685
34,2015-12-23,645.0,649.0,645.0,647.35,29959
35,2015-12-24,648.0,654.5,645.2,648.25,44548
36,2015-12-28,649.5,657.2,647.0,655.15,89861
37,2015-12-29,656.7,660.0,652.45,653.15,30465
38,2015-12-30,653.95,657.05,650.25,652.85,42532
39,2015-12-31,652.85,654.9,648.0,649.5,67382
40,2016-01-01,651.0,658.0,649.0,654.7,29250
41,2016-01-04,654.7,654.7,638.4,645.54,69956
42,2016-01-05,646.04,649.95,638.25,641.15,63759
43,2016-01-06,641.0,657.6,638.0,652.4,73697
44,2016-01-07,650.0,650.0,630.4,639.15,73410
45,2016-01-08,637.79,645.0,614.35,622.45,161578
46,2016-01-11,620.0,620.0,604.54,610.25,104974
47,2016-01-12,609.79,618.0,605.75,611.65,67242
48,2016-01-13,614.9,616.0,597.0,608.7,93778
49,2016-01-14,605.0,616.0,597.04,613.9,85215
50,2016-01-15,614.0,616.79,602.2,607.4,68078
51,2016-01-18,607.0,607.0,586.1,590.85,86285
52,2016-01-19,592.0,600.29,583.5,597.1,112363
53,2016-01-20,595.0,598.4,589.1,593.5,69725
54,2016-01-21,595.6,600.0,577.0,581.65,86553
55,2016-01-22,580.04,588.29,576.9,583.35,82076
56,2016-01-25,586.0,589.75,580.0,581.5,339736
57,2016-01-27,580.54,587.29,574.0,580.5,57601
58,2016-01-28,582.7,585.1,575.85,578.0,39160
59,2016-01-29,579.95,590.0,578.0,585.7,65643
60,2016-02-01,589.95,605.7,589.79,597.79,82049
61,2016-02-02,600.0,606.35,562.79,574.0,396457
62,2016-02-03,571.0,578.9,559.5,561.35,122378
63,2016-02-04,563.9,572.29,540.54,550.25,153462
64,2016-02-05,555.0,574.6,544.9,569.95,105454
65,2016-02-08,572.0,575.75,561.25,567.0,125105
66,2016-02-09,561.2,570.54,551.4,556.5,143682
67,2016-02-10,553.0,559.2,535.0,538.85,269958
68,2016-02-11,533.0,548.5,518.0,541.0,427284
69,2016-02-12,540.1,542.2,525.0,528.6,226964
70,2016-02-15,535.0,541.75,528.5,540.2,531126
