,Date,Open,High,Low,Price,Volume
0,2015-11-03,1230.0,1232.65,1215.0,1220.8,56366
1,2015-11-04,1225.0,1235.75,1215.15,1219.9,48336
2,2015-11-05,1219.0,1224.0,1203.95,1208.15,273241
3,2015-11-06,1212.0,1223.75,1202.5,1205.84,52184
4,2015-11-09,1192.9,1203.0,1177.3,1190.8,105183
5,2015-11-10,1195.0,1195.0,1171.34,1174.45,93589
6,2015-11-11,1184.0,1184.0,1174.8,1178.0,26728
7,2015-11-13,1178.0,1180.0,1159.0,1178.5,63233
8,2015-11-16,1177.0,1189.5,1158.25,1178.84,92610
9,2015-11-17,1189.05,1203.34,1184.15,1200.3,165005
10,2015-11-18,1200.0,1202.7,1175.95,1179.7,371025
11,2015-11-19,1186.34,1214.9,1184.45,1212.55,56862
12,2015-11-20,1216.0,1221.3,1198.0,1203.95,52393
13,2015-11-23,1219.0,1219.0,1187.25,1193.8,154654
14,2015-11-24,1191.0,1223.7,1189.8,1218.7,66297
15,2015-11-26,1220.0,1231.05,1216.15,1222.5,44161
16,2015-11-27,1222.65,1239.9,1218.09,1230.09,38006
17,2015-11-30,1224.4,1229.8,1205.3,1217.2,81623
18,2015-12-01,1226.0,1228.0,1213.55,1225.3,43891
19,2015-12-02,1225.0,1233.0,1205.25,1211.15,37291
20,2015-12-03,1226.0,1226.0,1199.09,1201.0,34886
21,2015-12-04,1200.0,1200.0,1170.55,1171.95,306199
22,2015-12-07,1176.0,1188.0,1175.34,1186.0,64097
23,2015-12-08,1185.0,1185.0,1170.0,1171.45,77620
24,2015-12-09,1170.0,1170.45,1151.05,1154.59,277363
25,2015-12-10,1160.0,1184.0,1154.59,1181.09,50990
26,2015-12-11,1181.0,1186.3,1162.0,1174.5,127849
27,2015-12-14,1156.0,1194.0,1156.0,1187.65,50301
28,2015-12-15,1185.15,1209.5,1180.0,1206.75,80682
29,2015-12-16,1216.5,1222.65,1209.55,1219.09,114688
30,2015-12-17,1204.0,1244.05,1204.0,1241.9,133326
31,2015-12-18,1245.0,1252.25,1222.0,1224.84,63658
32,2015-12-21,1227.0,1239.5,1220.0,1230.95,32808
33,2015-12-22,1232.34,1237.05,1204.34,1226.0,93129
34,2015-12-23,1236.0,1241.0,1229.0,1237.2,27682
35,2015-12-24,1243.7,1243.8,1226.15,1229.95,14861
36,2015-12-28,1230.9,1231.2,1221.0,1225.3,25966
37,2015-12-29,1237.95,1239.0,1225.8,1233.75,258372
38,2015-12-30,1242.0,1244.34,1229.8,1233.2,71269
39,2015-12-31,1237.09,1270.7,1236.7,1262.65,242669
40,2016-01-01,1266.9,1266.9,1251.0,1257.3,32675
41,2016-01-04,1253.8,1253.8,1212.0,1216.34,48499
42,2016-01-05,1237.0,1237.0,1205.55,1209.09,38479
43,2016-01-06,1210.0,1220.65,1202.5,1208.45,33953
44,2016-01-07,1200.0,1203.65,1175.0,1179.8,66613
45,2016-01-08,1185.0,1210.0,1169.9,1175.2,117668
46,2016-01-11,1165.0,1171.0,1151.0,1162.75,57620
47,2016-01-12,1176.0,1176.0,1145.59,1154.09,85325
48,2016-01-13,1160.0,1172.45,1145.15,1167.2,124624
49,2016-01-14,1160.0,1167.0,1147.05,1159.4,178570
50,2016-01-15,1166.0,1166.5,1143.0,1148.84,117161
51,2016-01-18,1154.0,1155.15,1125.05,1133.84,105921
52,2016-01-19,1130.0,1157.75,1130.0,1152.59,159440
53,2016-01-20,1141.0,1144.34,1129.65,1135.2,226756
54,2016-01-21,1140.09,1145.65,1122.3,1134.4,73417
55,2016-01-22,1140.0,1161.0,1135.4,1157.84,59126
56,2016-01-25,1161.0,1183.5,1156.0,1174.09,85697
57,2016-01-27,1182.0,1186.0,1160.0,1167.7,61224
58,2016-01-28,1153.0,1158.09,1136.9,1148.2,127127
59,2016-01-29,1148.0,1187.59,1145.59,1177.59,60231
60,2016-02-01,1195.0,1195.0,1170.0,1179.5,43476
61,2016-02-02,1180.0,1192.84,1166.5,1177.34,64477
62,2016-02-03,1173.0,1180.8,1159.0,1160.8,79496
63,2016-02-04,1165.9,1176.59,1164.5,1170.0,206204
64,2016-02-05,1162.0,1187.34,1162.0,1183.7,58641
65,2016-02-08,1177.09,1183.84,1156.75,1161.75,43926
66,2016-02-09,1157.5,1168.34,1140.7,1159.8,78492
67,2016-02-10,1160.0,1160.0,1111.55,1116.8,57072
68,2016-02-11,1116.8,1116.8,1060.15,1067.95,94375
69,2016-02-12,1074.0,1096.9,1069.25,1083.65,342939
70,2016-02-15,1095.0,1102.0,1076.2,1081.09,206591
71,2016-02-16,1085.0,1087.0,1064.15,1077.09,75129
72,2016-02-17,1078.0,1085.0,1060.0,1076.7,55196
73,2016-02-18,1084.45,1084.45,1063.5,1070.05,47837
74,2016-02-19,1069.0,1069.0,1046.0,1060.75,64662
75,2016-02-22,1060.75,1063.8,1049.0,1058.34,66060
76,2016-02-23,1060.0,1060.0,1040.0,1051.09,1976892
77,2016-02-24,1051.0,1051.0,1020.0,1022.95,258334
78,2016-02-25,1025.0,1049.95,1012.0,1041.9,267190
79,2016-02-26,1056.9,1058.8,1048.5,1054.7,449689
80,2016-02-29,1060.0,1078.0,1024.0,1061.55,205188
81,2016-03-01,1062.0,1071.75,1048.0,1068.75,75737
82,2016-03-02,1080.05,1106.9,1076.65,1100.25,91383
83,2016-03-03,1115.0,1134.8,1108.95,1123.59,98148
84,2016-03-04,1123.55,1136.0,1105.0,1128.5,67632
85,2016-03-08,1127.8,1149.0,1120.0,1146.05,524688
86,2016-03-09,1147.0,1147.0,1107.3,1131.05,88237
87,2016-03-10,1132.5,1156.0,1122.5,1152.59,133927
88,2016-03-11,1159.95,1166.95,1147.0,1158.75,58053
89,2016-03-14,1160.0,1174.0,1147.45,1156.05,42189
90,2016-03-15,1149.0,1149.0,1109.0,1114.09,224302
91,2016-03-16,1107.0,1129.5,1096.15,1125.95,153936
92,2016-03-17,1133.0,1151.15,1104.4,1109.7,212008
93,2016-03-18,1114.7,1132.5,1104.55,1127.65,386250
94,2016-03-21,1131.0,1156.1,1129.55,1152.05,153569
95,2016-03-22,1145.0,1174.0,1136.5,1172.4,83851
96,2016-03-23,1160.8,1167.75,1143.75,1163.1,73561
97,2016-03-28,1163.0,1167.45,1139.0,1140.8,248020
98,2016-03-29,1133.4,1142.35,1123.35,1127.7,210903
99,2016-03-30,1130.1,1130.1,1111.2,1115.55,317661
100,2016-03-31,1113.0,1117.4,1098.0,1105.55,400695
101,2016-04-01,1101.4,1117.0,1093.3,1111.55,404846
102,2016-04-04,1115.9,1121.8,1098.0,1104.15,209941
103,2016-04-05,1105.0,1110.95,1088.0,1099.0,306703
104,2016-04-06,1110.0,1110.0,1092.1,1101.1,273691
105,2016-04-07,1110.0,1110.0,1067.0,1072.65,533053
106,2016-04-08,1072.65,1083.0,1070.45,1079.05,82174
107,2016-04-11,1085.0,1087.15,1060.5,1079.65,164073
108,2016-04-12,1085.0,1091.7,1076.1,1087.0,84478
109,2016-04-13,1098.0,1116.5,1097.0,1113.2,105943
110,2016-04-18,1125.0,1136.55,1093.7,1127.3,389633
111,2016-04-20,1146.95,1158.5,1134.7,1138.4,103804
112,2016-04-21,1146.35,1156.8,1140.8,1148.7,97027
113,2016-04-22,1152.0,1152.0,1122.0,1131.4,180636
114,2016-04-25,1130.0,1130.0,1107.0,1111.6,49728
115,2016-04-26,1107.0,1132.0,1103.9,1131.25,66676
116,2016-04-27,1123.0,1128.45,1114.5,1123.05,44195
117,2016-04-28,1122.0,1125.1,1083.0,1087.0,80303
118,2016-04-29,1084.0,1102.0,1075.6,1088.8,97312
119,2016-05-02,1096.0,1097.9,1079.05,1092.75,206820
120,2016-05-03,1100.0,1116.0,1096.0,1100.15,232837
121,2016-05-04,1099.5,1137.9,1099.0,1131.0,1142489
122,2016-05-05,1136.6,1175.5,1136.6,1163.85,175525
123,2016-05-06,1163.0,1173.0,1149.5,1167.6,73570
124,2016-05-09,1171.7,1206.95,1171.65,1204.0,149937
125,2016-05-10,1199.95,1220.0,1197.95,1218.5,79569
126,2016-05-11,1202.35,1220.55,1200.95,1203.65,52055
127,2016-05-12,1215.5,1216.0,1190.0,1195.35,56229
128,2016-05-13,1195.0,1203.35,1158.75,1166.05,76927
129,2016-05-16,1168.0,1191.05,1160.5,1187.3,577969
130,2016-05-17,1193.0,1228.8,1193.0,1216.25,113154
131,2016-05-18,1209.0,1213.0,1196.5,1213.0,60525
132,2016-05-19,1208.0,1208.0,1173.5,1176.7,58319
