Date,Open,High,Low,Price
03-11-15,17436.5,17466.2,17265.05,17325.6
04-11-15,17449,17449,17175.65,17221.05
05-11-15,17166.45,17166.45,16957.35,16995.1
06-11-15,17003,17143.6,16911.6,17086.5
09-11-15,16667.9,17069,16587.25,17003
10-11-15,16895.2,17047.3,16805.05,16836
11-11-15,16836,17016.8,16836,16956
13-11-15,16829.3,16962.55,16741.8,16932.85
16-11-15,16881.65,17230.5,16855.5,17184.9
17-11-15,17302.55,17302.55,17028.2,17140.45
18-11-15,17108.9,17186.7,16787.55,16812.1
19-11-15,16944.35,17110.35,16874.7,17071.9
20-11-15,17022.7,17262.85,16931.3,17055.6
23-11-15,17120.25,17126.35,16969.35,17060.25
24-11-15,17012.85,17108.4,16964.9,16988.65
26-11-15,16988.2,17111.45,16972.6,17036.55
27-11-15,17095.2,17403.65,17049.55,17370.95
30-11-15,17336.25,17498.35,17336.25,17430.4
01-12-15,17456.75,17495.45,17353.85,17398.55
02-12-15,17457.15,17470.85,17164,17218.5
03-12-15,17137.8,17219,17080.25,17110.1
04-12-15,17009.45,17009.45,16880.35,16897.3
07-12-15,17018,17031.85,16921.75,16947
08-12-15,16888.65,16943.05,16783.65,16801.15
09-12-15,16762.15,16868.6,16626.55,16660.75
10-12-15,16697.2,16745.25,16573.15,16711.05
11-12-15,16751.35,16758.7,16260.1,16342.5
14-12-15,16212.4,16440.85,16205.8,16350.65
15-12-15,16342.35,16425.15,16188.05,16398.65
16-12-15,16464.5,16640.4,16363.9,16579.4
17-12-15,16704.05,16771.8,16544.65,16741.5
18-12-15,16719.45,16737.7,16572.75,16594.3
21-12-15,16593.4,16848.6,16580.65,16825.15
22-12-15,16810.7,16946.1,16704.15,16749.2
23-12-15,16828.35,16913.15,16812.5,16882.5
24-12-15,16926.95,16939.6,16756.9,16811
28-12-15,16843.4,17019,16843.4,16979.15
29-12-15,16988.3,17045.55,16921.15,16991.45
30-12-15,16997.5,17011.3,16889.05,16917.9
31-12-15,16916.05,16972.25,16896.65,16922.2
01-01-16,16932.5,17067.45,16824.05,17039.25
04-01-16,16966.35,16966.35,16575.45,16599.15
05-01-16,16652.05,16670.2,16474.85,16542.5
06-01-16,16505.45,16614.95,16377.65,16433.15
07-01-16,16256.55,16256.55,16049.75,16073.85
08-01-16,16135.4,16229,16104.1,16142.65
11-01-16,15979.05,16156.8,15840.6,16016.25
12-01-16,16080.4,16080.4,15699.4,15734.8
13-01-16,15835.05,15956.25,15532.25,15871.85
14-01-16,15612.1,15803.2,15453.4,15609.8
15-01-16,15621.85,15650.7,15154.35,15206.3
18-01-16,15165.2,15270.4,14956.95,15020.8
19-01-16,15086.75,15338.2,15086.75,15269.65
20-01-16,15059.5,15533.45,14754.65,14935.5
21-01-16,15132.2,15364.6,14918.15,15101.2
22-01-16,15343.15,15575.65,15274.9,15497.55
25-01-16,15667,15682.65,15495.1,15561.15
27-01-16,15648.4,15673.95,15442.2,15534.6
28-01-16,15569.55,15572.2,15349.75,15381.45
29-01-16,15140.15,15554.9,15136.85,15522.4
01-02-16,15547.75,15565.5,15281.35,15314.45
02-02-16,15353.6,15463.45,15018.85,15068
03-02-16,14897.4,14947.8,14777.75,14834.05
04-02-16,14969.2,14978.35,14761.4,14869.15
05-02-16,14928.25,15211.9,14890.9,15162.05
08-02-16,15206.3,15367.9,14960.1,15046.8
09-02-16,14830.4,14964.9,14760.8,14875.1
10-02-16,14740.2,14779.15,14490.2,14588.45
11-02-16,14518.65,14530.8,13969.85,14028.55
12-02-16,14088.6,14154.55,13810.6,13971.5
15-02-16,14120.9,14548.15,14120.5,14445
16-02-16,14602.25,14602.25,14136.8,14166.45
17-02-16,14165.25,14186.1,13892.1,14119.85
18-02-16,14301.75,14385.65,14180.9,14298.15
19-02-16,14243.45,14395.85,14207.35,14344.2
22-02-16,14331.2,14467.15,14322.65,14384.8
23-02-16,14373.3,14373.3,13961.75,14008.35
24-02-16,13873.7,13974.5,13760.25,13794.05
25-02-16,13844.45,13844.45,13519.9,13555.7
26-02-16,13715.1,13889.25,13595.2,13791.45
29-02-16,13818.9,14222.3,13407.25,13946.4
01-03-16,14064.8,14445.7,14064.8,14412.9
02-03-16,14770.35,15138.7,14767.3,15092.45
03-03-16,15150.05,15206.25,15000.05,15177.75
